ID,Topic,Domain,emotion,text
9711,Entertainment,Youtube,Sadness,নাটক থেকে কিছু শিখলে স্কুল কলেজ কি বাল পালানোর জন্য বেটা? 
1656,Education,Youtube,Surprise,যুক্তিতে না পেরে মেয়েটা কিভাবে চিল্লাচিল্লি করছিল শুধু শুনছিলাম। অসাধারণ অসাধারণ লেগেছে যুক্তি তর্ক গুলো। 
15826,Politics,Youtube,Sadness,"অপর পক্ষ উত্তেজিত হবে কেন,? এইটা সংসদ আপনার কাজ এদের চুপ করানো,! "
11528,Personal,Youtube,Love,এগিয়ে যাও আফ্রিদি আমরা তোমাদের সাথে আছি পাশে আছি 
20338,Personal,Youtube,Joy,কে কে তৌহিদ অাফ্রিদির ভিডিও দেখার অাগে লাইক দেন??? 
15856,Entertainment,Facebook,Anger,যাদের সাথে রাষ্ট্রিয় ভাবে কোন বড় সংঘাতও নেই 
18063,Education,Facebook,Joy,মানে চেয়ারম্যান সাবের সাইকেলটা যদি দেতেন । কাজের বুয়া বলে 
7326,Sports,Youtube,Love,সব মেয়েই তার বাবার কাছে এক একটা রাজকন্যা 
5695,Education,Facebook,Joy,তারা ৪৫ তলায় পৌছে গেল।আর একজন আরেকটি হাসির গল্প বলল 
2907,Travel,Youtube,Joy,যারা কেনাডায় যায় তাদের থেকে জ্ঞানি কেউ হতে পারে না 
9022,Education,Facebook,Joy,এরকম। আর প্রত্যেক হাসপাতালেও এভাবে আবেদনকারীদের রাংকিং করে 
14323,Politics,Facebook,Anger,ওসি মামলা নিলেন না কেন? আমরা রুল দিয়ে দেখি 
25073,Personal,Facebook,Anger,কর্মী নেই ।কোন কর্মীর দায়িত্ব কিংবা খবর এরা রাখে না । কোন কর্মীর বিপদে এরা দাড়ায় না 
1998,Music,Youtube,Love,প্রতেক দিন ঘুমানোর আগে একবার হলেও গান টা সুনি👉সেই রকম সাদিক ভাই সেই রকম👉😀😀😀 
24046,Personal,Youtube,Joy,চুক্ষে জল এসে গেল এই ভিডিও দেখে ধনবাদ তাবিব ভাইকে এবং আফ্রিদিকে... 
22802,Travel,Youtube,Joy,কানাডায় এতো কম মানুষ? চলেন আমরা ২কোটি মানুষ গিয়ে যুদ্ধ করে কানাডা দখল করে নেই :) 
23574,Personal,Youtube,Joy,"খুব ভালো লাগলো,দিন দিন মানুষ হয়ে উঠছে ভালোবাসা ময়। "
1267,Education,Facebook,Anger,বলে ওঠে - ''আমি ছাড়া আরো দুইজন ওইখানে আটকা পড়ে আছে 
18259,Personal,Facebook,Anger,শ্যাওলা এসে ঘিরবে দিঘির ধারগুলায়– তখন আমায় নাইবা মনে রাখলে 
836,Personal,Youtube,Surprise,আর আমি হাওরা ব্রিজের ওপর৫০ছবিতুলছি কখনো ফাইন হয়নি 
17109,Music,Youtube,Joy,ভাই ভালো লাগছে গান 
16917,Personal,Youtube,Joy,আফ্রিদি ভাইয়া রানা কে সব সময় তোমার পাশে দেখতে পাই 
7060,Entertainment,Youtube,Anger,"চো‌খের জল 😧ধ‌রে রাখ‌তে পারলাম না, ভাষা হ‌া‌রি‌য়ে ফে‌লে‌ছি! 😯 "
21880,Music,Youtube,Sadness,গান ভালো ছিল। কিন্তু ওই একি ডান্স পোজ ধুর 😒 চ্যাংড়া পোলাপান টাইপ ভাব 
7797,Politics,Facebook,Anger,শুধু ভোট একটিবার দিয়া দেখিতে পারো। অনেক জ্বালা 
6469,Education,Facebook,Anger,তাকে হাসপাতালে নিয়ে যাওয়া হয়েছে। সন্ধ্যা ছয়টার সময় তিনি মারা গেলেন। মূল যে ঘটনা ঘটেছিল 
3002,Personal,Youtube,Joy,"ক্ষ্যাত আর বুড়িগঙ্গার কাহিনীটা জুস,যারা একমত তারা লাইক দিন "
16290,Politics,Youtube,Sadness,ভাগ্যিস তুই বললি বলে জানতে পারতাম না বোকাচোদা 
25066,Education,Facebook,Sadness,তা হতে পারে না। পৃথিবীর আর কোন দেশে এমন বাস্টার্ড ও পতিতাবৃত্তের মিডিয়া আর আছে কিনা 
18070,Sports,Youtube,Joy,মোসাদ্দেক ভাই অভিন্দন আপনাকে আপনি ধলে নিয়মিত থাকার জন্য ধারাবাহিকতা বজায় রাখুন 
6579,Entertainment,Youtube,Sadness,তোরে কাছে পেলে নামাজ পড়ায়ে ছাড়তাম সালা আবাল রাত দিন ইউটিউবে পড়ে থাকিস আর নাৃাজের তাগিদ দিস😠😠😠😠😠 
5820,Education,Youtube,Love,"স্যার, এত ভালো করে কিভাবে বুঝান। আপনার প্রতিটি লেকচার আমার ভালো লাগে- রাতুল। "
18776,Personal,Facebook,Anger,রোদেলার সারা শরীর ফুলে গেল। শরীরের নানা জায়গায় ইনফেকশন হয়ে গেল 
7553,Personal,Facebook,Anger,নানা বাহানা করছেন তার চোখে আপনার জন্য একটু ভালোবাসা আনতে 
8863,Entertainment,Youtube,Joy,নিশো বস কে মুভি করা উচিৎ কে কে একমত লাইক দিন 
25576,Food,Youtube,Anger,"জঘন্য হয়ে গেসে। ভাইয়াদের কাছে ক্যামেরা ছিলো, ভিডিও করতেসে দেখে ভালো পিস দিসে "
19986,Politics,Youtube,Sadness,তো মা কে চুদে ছিলো পাকিস্তান শালা সুয়ের বাচ্চা 
8983,Education,Youtube,Love,থ্যাঙ্ক ইউ স্যার ইউর সাজেশন ইস সো গুড 
16022,Entertainment,Youtube,Joy,পিঁপড়ার পেট খারাপ ওষুধ খাওয়াতে গেছে এঞ্জেল😂😂😂 
12135,Sports,Youtube,Love,হ্যাপি আপু আপনি সত্যি কারের ভালোবাসার দাম দিতে জানেন আপনি অনেক ভালো👌👌👌👌💕💕💕💕💕💕💕💕💕💕 
24931,Politics,Youtube,Sadness,দোর খাইয়া কোনো কাম নাই সালার পুত 
24030,Entertainment,Youtube,Joy,নাটকটা পুরো দেখলাম তারপরে কমেন্ট করতেছি জোশ হয়েছে👌👌👌👌👌 
6488,Sports,Youtube,Sadness,বাংলাদেশ দল থেকে সাব্বির রহমানকে বহিষ্কার করা হোক 
27256,Education,Youtube,Sadness,"মেয়েটা এরকম ফাল পারতাছে এটা কি পাগল নাকি , মাদ্রাসা ছাত্রদের সাথে লাগবে আইসো না "
18021,Sports,Youtube,Sadness,এইটা তো খেলার লোকই এর তো কোন সরম নেই এরা তো পতিতা 
16118,Entertainment,Youtube,Joy,আমি বলব খুবই অসাধারণ একটা নাটক 
3141,Education,Youtube,Love,"খুব ভালো লাগলো,,,, মজাও পেলাম শিখতেও পারলাম "
13383,Sports,Youtube,Joy,জুবায়ের বল অনেক টা রাশিদ এর মত ভিতরের দিকে ডুকে যায় 
24925,Food,Youtube,Sadness,"ফালতু রেস্টুরেন্ট,,,,বাজে সার্ভিস আর চোরের রেস্টুরেন্ট,,,যে একবার যাবে দ্বিতীয়বার আর ঐ মুখো হবে না "
2719,Personal,Youtube,Love,আবিব ভাই ও আফ্রিদি ভাই এর আশা আল্লাহ আপনাদর সকল আশা পূরন করুন। 
4944,Entertainment,Youtube,Love,মিশন নোয়াখালী দেখতে চাই 
16617,Personal,Youtube,Joy,"ভিডিও টা খুব ভালো লাগলো ভাই,তোমাদের সবার জন্য দোয়া রইলো "
11686,Politics,Youtube,Joy,মেয়েটিকে কার কার ভাল লেগেছে? লাইকে গুতা দেন। 
22927,Personal,Facebook,Love,তুমি দিবে ? তোমার যখন কষ্টে মেঘের মন ভারী হবে আমি ওপর পাশে রংধনু হয়ে তোমায় হাঁসাবো 
5725,Music,Youtube,Anger,সেই লেভেলের চুরি।।৩ ৪ গানের ভিডিও এর নকল।বাংগালি 😂 
18790,Personal,Facebook,Surprise,তারপর একেবারেই উধাও। প্রথম বার বাড়িতে ফিরে তোদের বাড়িতে গিয়েছিলাম 
18658,Music,Youtube,Sadness,বাংলা সংস্কৃতি ধ্বংস করার জন্য এরকম গানই যথেষ্ঠ.. 
8829,Politics,Youtube,Anger,শেখ হাসিনা কে দেখার দরকার আপনার শাসন আমলে ধর্ষণ বেরেই চলছে 
13287,Personal,Youtube,Love,টাংগাইল জেলাই আসো ভাই 
4318,Entertainment,Youtube,Joy,"বেচেলর পয়েন্ট নাটকের সকলে সদস্য মানে,পুরা অস্থির নাটক। জোস ছিলো। "
18956,Sports,Youtube,Sadness,তবুও ইমরুল কায়েস নাই।কি দোষ করলো এই ছেলেটা।বালে বিসিবি তুর চোখের পড়ে না ইমরুলকে। 
439,Entertainment,Youtube,Love,ভাইটা নাটকটা ভালো হয়েছে।বর্তমানের সাথে খুবই মিল।নতুনদের কেউ সুযোগ দেয়া হচ্ছে।আরো এমন আশা করি।এমন নাটক আশা করি। 
24921,Entertainment,Youtube,Joy,ওনেক সুন্দর একটি নাটক...এরকম একটা নাটক করবার জন্যে সবাইকে ধন্যবাদ 
23962,Sports,Youtube,Sadness,আর এখন হিন্দিরা তোদের চুদছে। কিন্তু তোরা শব্দ না করে এনজয় করছিস। 
9357,Personal,Youtube,Love,তৌহিদ আফ্রিদি ভাই আপনার মতো মানুষ গুলো আমাদের জন্য অনুপেরনা ❤❤❤❤❤ 
3159,Personal,Facebook,Anger,হঠাৎ করে মরে যাবার ভয় থাকতো । আমি হয়তো মানুষ নই 
27852,Sports,Facebook,Joy,এছাড়া মাঝারি গতিতে দৌড়াতে পারছেন তিনি 
9989,Sports,Youtube,Joy,"বাংলাদেশ ক্রিকেট এর সব ভিডিও পেতে, আমার চ্যানেল টা সাবস্ক্রাইব করুন ধন্যবাদ,......😊 "
17196,Personal,Facebook,Surprise,তিনি এই ডিগ্রীর জন্য দীর্ঘ পঞ্চাশ বছর অপেক্ষা করেছেন 
17487,Education,Youtube,Joy,যারা যারা আজকে বা প্রতিদিন রোজা রাখো শুধু তারাই লাইক দেও। 👍👍👍 
26227,Sports,Youtube,Sadness,শালার পুত তুই আফগান জিলাবি গান টা দিয়ে নাইখে ফাইনাল দিবে। 
27417,Education,Youtube,Sadness,"মেয়েটা আসলে একটা অভদ্র, কিভাবে হাত নাড়িয়ে কথা বলছে, দেখে মনে হয় ঝগড়া করছে। "
15575,Travel,Youtube,Joy,"অনেক দিন পর তুমাকে দেখে খুব ভালো লাগলো,বরাবরের মতই মা মেয়েকে অনেক কিউট লাগছে। "
7824,Entertainment,Youtube,Joy,ভালো লাগলো খুব হাসলাম নাটকের মেকিং খুব ভালো ছিল 
15079,Personal,Facebook,Anger,আর মা শহরের মেয়ে হওয়ায় সব কিছু গুছিয়ে রাখাটা কতটা কঠিন সেটা সমাজ জানে 
3557,Travel,Youtube,Love,আপুর সব ফ্রেন্ডস আর রিলেটিভরা অনেক হেল্পফুল। ভালো লেগেছে ভিডিও। 
13580,Personal,Facebook,Sadness,এতটাই রুচিশীল যা বলে বোঝানো যাবে না। যেমন 
7115,Politics,Youtube,Sadness,আর যদি শুনি দেশে সবকিছুতে ট্যাক্স বাড়ানো হবে তাহলে দেশে টাকা পাঠানো বন্ধ করে দেবো কথা দিলাম 
25812,Entertainment,Youtube,Joy,হালা কাবিলা(পলাশ)চোরের পার্ট লইছে 
19262,Education,Youtube,Sadness,মেয়েরা তথ্যপ্রযুক্তির নাম দিয়া খালি চিল্লায় চিল্লায় চাপাবাজি করে 
13190,Health,Facebook,Joy,কতোটা অর্থপূর্ণভাবে জীবন যাপন করলেন। আমরা বিশ্বাস করি 
16650,Game,Youtube,Joy,ভাই লাইভ খেলা নিয়ে আসবেন কবে???লাইদ স্ট্রিমিং চাই ব্রো😊😊 
9364,Entertainment,Youtube,Joy,জোছ হইছে নিশু অনেক ভাল অভিনয় করছে কিছু শিখার আছে 
16116,Business,Youtube,Joy,ইন্ডিয়া থেকে কিভাবে পাবো ? 
18631,Music,Youtube,Sadness,শাওয়ার গান।ডিসলাইক টা যদি আরো একশ বার দিতে পারতাম 
13523,Politics,Twitter,Anger,প্রাইভেট বিশ্ববিদ্যালয়ে ক্লাস নেয়া কমিয়ে রেগুলার কোর্সের শিক্ষার মান উন্নয়নে জোর দেয়া আবশ্যক। দুঃখজনক হলেও সত্য 
5870,Personal,Youtube,Sadness,"এতোদিন কি করছিস বরিশাইলা,? রানার তো এখন অভাব নাই, "
2491,Personal,Youtube,Sadness,ভোটচোর স্বৈরাচারী খুনি হাসিনা কিভাবে মমতাময়ী হয়!!! 😀 
6710,Music,Youtube,Sadness,"দেহ দিলা, মনটা দিল না👿 খান্কির পোলা। "
12316,Entertainment,Youtube,Joy,সেই নাটক রে ভাই শেষের গানটা আরো ভালো লাগলো 
19759,Politics,Youtube,Sadness,কলেজ কর্তৃপক্ষ এতদিন এই ভিডিওটি গোপন করেছিল কেন??? 
13888,Personal,Youtube,Love,ইন্টারমিডিয়েট পর্যন্ত পড়ার খরচ দেবার ঘোষনায় আমি আফ্রিদির ভক্ত হয়ে গেলাম। 
4716,Personal,Facebook,Love,রাখবো তোমায় মিলিয়ে নিও । কৃষ্ণচূড়ার ফুল দেখেছো 
20701,Politics,Youtube,Sadness,"সেতুর কাজ শুরু না করতেই বলতেছে আগামী ৪ বছরে সেতু নির্মাণ হয়েযাবে,মাথা খারাপ সরকারের পাগল মন্ত্রী "
8919,Sports,Youtube,Anger,"নিদাহাস ট্রফির ফাইনালের সৌম্য সরকারের করা শেষ ওভারটি এখনও কাদায়, ইসস যদি ভারতকে হারাতে পারতাম,! "
3175,Entertainment,Facebook,Surprise,এতো দেশের সাথে যোগাযোগ 
18508,Politics,Youtube,Anger,এরকম অবিচার দেখলে মনে হয় তাদের আল্লাহ খোদা নেই 
15808,Personal,Facebook,Joy,আর সৎ চরিত্রবান পুরুষ সৎ চরিত্রবতী নারীর জন্য। —আল কুরআন (সূরা আন-নুর 
10245,Education,Youtube,Joy,"স্যার, দ্রুতি ও বেগ নিয়ে অালাদা ১টা ভিডিও বানানোর অনুরোধ রাখছি। "
8612,Personal,Youtube,Joy,ভাই আপনি মুখ দিয়ে এটা কি করলেন মজা পাইলাম ভাই। হা হা হা 
16310,Music,Youtube,Joy,বাংলাদেশের গর্ব শাহ আব্দুল করিম.আমাদের ভাটি বাংলার অহংকার. আমি গর্বিত আমি সেই ধল উজান ধল গ্রামের 
22904,Politics,Youtube,Sadness,কুত্তার বাচ্চারা মানুষ না এদের মত মানুষ এর জন্য দেশের এত বদনাম 
23255,Politics,Facebook,Sadness,কোন উস্কানিতে বাংলাদেশ যেন অশান্ত না হয় সেটাই আমাদের ব্রত হওয়া উচিত। বড় বড় কথায় পেট চলেনা 
5434,Sports,Facebook,Love,আর্জেন্টিনার এই আকাশি নীল জার্সিকে। আমার মত যারা ভালোবাসেন 
26320,Music,Youtube,Surprise,বাহ হুজুরদের জন্য সবাই আরো বেশি করে দেখছে কি শুনলাম এটা 
26591,Music,Youtube,Joy,পরবর্তী গানটা মনে হয় কচুরিপানা নিয়ে হবে 🤔🤔 
13252,Personal,Youtube,Love,আজ থেকে ভাই তোমাদের প্রতি আমার ভালবাসা আরো বহুগুন বেড়ে গেলো... 
5737,Personal,Facebook,Sadness,পছন্দ মতো ফুল ফুটল না বলে মাটি থেকে উপড়ে ছুঁড়ে ফেলে দিলো গাছটাকে ? ছেলেটার ভীষণ জেদ 
7869,Politics,Facebook,Fear,পিছনে পুলিশ পিকেটারদের লক্ষ্য করে পিস্তল তাক করেছেন 
10939,Food,Youtube,Joy,"আপনাদের কলকাতা এর টা অরিজিনাল হাজির বিরানি না,তবে তারা ইন্সপারেট হয়ে অখানে বানায় "
3953,Politics,Youtube,Anger,তুমি শিক্ষিত হয়েও না বুজে মূর্খের দলে চলে গেছো 
10168,Politics,Facebook,Anger,ইন্টারনেট এবং স্মার্ট ফোন মানেও যে যৌনতা 
8524,Personal,Youtube,Joy,খুব ভাল লাগলো ভাই 
13253,Sports,Youtube,Sadness,ভারতীয় মালাউনরা বাংলাদেশি পতাকা কে অবমাননা করেছে তা নিয়ে প্রতিবেদন করুন। 
14577,Personal,Facebook,Love,খাবার সময় রেশমি চুড়ি পড়ে পাশ দিয়ে ঘুরে বেড়াতো । সুখ যদি কিছু থেকে থাকে এটাই সুখ 
3624,Business,Youtube,Joy,"আপু আমি ১২ তারিখে সোনারগাওতে শিক্ষাসফরে আসতেছি।আপনার সাথে যুদি দেখা করতে পারতাম,অনেক ভাল লাগত "
19826,Education,Youtube,Love,ভাই তুমার জন্য অনেক দুয়া রইল তুমি এগিয়ে জায় 
4032,Education,Facebook,Anger,যারা ‘মন্দ আদর’/ ‘#খারাপ_আদর’ করবে তারা কখনো ভালো মানুষ নয় 
560,Business,Youtube,Sadness,মুমিন মানেই যে মূর্খ তা কমেন্ট দোখলেই বোঝা যায়।। 
10810,Fashion,Youtube,Joy,আচ্ছা ভাইয়া আপনা দের দোকান তা কোথায় যদি বলেন তাহলে ভালো হবে 
3765,Education,Facebook,Sadness,রাত দুপুরে বৌয়ের ফোনে কে মারে মিস কল? (হামিদুল ইসলাম শিবগঞ্জ 
5749,Entertainment,Youtube,Joy,ব্যাচেলর পয়েন্ট নাটক ছাড়া ঈদ জমে নাহ ভাই। ওয়েটিং ফর সিরিয়াল। 
4762,Politics,Youtube,Anger,চট্টগ্রামে আমার এক আংকেলের সাথে ও এই ঘটনা ঘটেছে। 
11384,Personal,Twitter,Love,শ্রদ্ধার্ঘ্য অর্পন শেষে প্রাণপ্রিয় নেত্রীর সান্নিধ্যে তাঁর আদর্শের ভ্যানগার্ড বাংলাদেশ ছাত্রলীগ পরিবার। 
3104,Education,Youtube,Surprise,চমক হাসান ভাইয়ের বয়স ধরে রাখার রহস্য কি? 
15146,Politics,Youtube,Joy,"দৌলদিয়া পাটুরিয়ার ডিজাইন সব রেডি, এখন শুধু টেন্ডারের অপেক্ষায়। আগামী বছর থেকে কাজ শুরু হতে যাচ্ছে।। "
25214,Music,Youtube,Joy,অসাধারণ গান শুনতে পেলাম পারভেজ এর ফলে স্বাগতম 
11984,Personal,Facebook,Anger,তার সুখ মরে যায়। সুখী হবার সহজ উপায় বিবেকহীন হওয়া 
9092,Politics,Youtube,Joy,না তাক তরা ঝগড়া করলে ৬৩ জেলার মানুষ মজা পাই তাই ক্রসফায়ার দেওয়ার দরকার নাই 
26617,Business,Youtube,Joy,আমারে ফোন নাম্বারে একটা ফোন দিলে ভালো হয় 
